Enrollment (# of students who started the program),,,,,,,,,,,,,,,,,,
Woman or Girl,34%,84,30%,29,30%,25,36%,99,36%,80,#REF!,#REF!,#REF!,0,#REF!,#REF!,#REF!,0
Non-Binary or Gender Non-Conforming,4%,11,2%,2,1%,1,6%,16,6%,14,#REF!,#REF!,#REF!,0,#REF!,#REF!,#REF!,0
Man or Boy,62%,155,70%,67,77%,65,60%,163,59%,132,#REF!,#REF!,#REF!,0,#REF!,#REF!,#REF!,0
Another identity not listed here,0%,0,0%,0,0%,0,0%,0,0%,0,#REF!,#REF!,#REF!,0,#REF!,#REF!,#REF!,0
Prefer not to say,3%,7,0%,0,0%,0,0%,1,0%,1,#REF!,#REF!,#REF!,0,#REF!,#REF!,#REF!,0
,,,,,,,,,,,,,,,,,,
School Location,,,Summer 24 (enrolled),n=,Summer 24 (active),n=,SY2024-25 (enrolled),n=,SY2024-25 (active),n=,Summer 25 (enrolled),n=,Summer 25 (active),n=,SY2025-26 (enrolled),n=,SY2025-26 (active),n=
Brooklyn,,,17%,15,17%,14,20%,55,22%,49,#REF!,#REF!,#DIV/0!,0,#REF!,#REF!,#DIV/0!,0
Bronx,,,12%,11,12%,10,10%,26,9%,21,#REF!,#REF!,#DIV/0!,0,#REF!,#REF!,#DIV/0!,0
Manhattan,,,42%,37,43%,36,45%,122,46%,102,#REF!,#REF!,#DIV/0!,0,#REF!,#REF!,#DIV/0!,0
Queens,,,25%,22,23%,19,21%,56,19%,42,#REF!,#REF!,#DIV/0!,0,#REF!,#REF!,#DIV/0!,0
Staten Island,,,4%,4,5%,4,5%,13,3%,7,#REF!,#REF!,#DIV/0!,0,#REF!,#REF!,#DIV/0!,0
Non-NYC,,,0%,0,0%,0,0%,0,1%,3,#REF!,#REF!,#DIV/0!,0,#REF!,#REF!,#DIV/0!,0
School CS Programs,State of CS Data | Code.org Advocacy Coalition,,,,SY2025-26 (enrolled),n=,SY2025-26 (active),n=,,,,,,,,,,
Students at schools with CS,,,,,#REF!,#REF!,#DIV/0!,0,,,,,,,,,,
Students at schools without CS,,,,,#REF!,#REF!,#DIV/0!,0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Monthly Attendance Rates,Total Active,Oct,Nov,Dec,Jan,Feb,Mar,Apr ,May,June,,,,,,,,
2D-1,#REF!,#REF!,#REF!,#REF!,n/a,n/a,n/a,n/a,n/a,n/a,IMPORTANT: Not accurate until the end of the month for each month.,,,,,,,
2D-2,#REF!,84%,85%,87%,88%,92%,86%,23%,n/a,n/a,,,,,,,,
2D-3,#REF!,#REF!,#REF!,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,
3D-1,#REF!,#REF!,#REF!,#REF!,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,
3D-2,#REF!,#REF!,#REF!,#REF!,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,
3D-3,#REF!,#REF!,#REF!,#REF!,n/a,n/a,n/a,n/a,n/a,,,,,,,,,
Studio,#REF!,#REF!,#REF!,#REF!,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,
Play Lab,#REF!,#REF!,#REF!,#REF!,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,
Total Average,#REF!,89%,84%,#REF!,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,
,,,,,,,,,,,,,,,,,,
Schools List (Summer),# students,,Schools List (School year programs),,,# students,,,,,,,,,,,,
#REF!,0,,#REF!,,,0,,,,,,,,,,,,
,0,,,,,0,,,,,,,,,,,,
,0,,,,,0,,,,,,,,,,,,
,0,,,,,0,,,,,,,,,,,,
,0,,,,,0,,,,,,,,,,,,
,0,,,,,0,,,,,,,,,,,,
,0,,,,,0,,,,,,,,,,,,
,0,,,,,0,,,,,,,,,,,,
,0,,,,,0,,,,,,,,,,,,
,0,,,,,0,,,,,,,,,,,,
,0,,,,,0,,,,,,,,,,,,
,0,,,,,0,,,,,,,,,,,,
,0,,,,,0,,,,,,,,,,,,
,0,,,,,0,,,,,,,,,,,,
,0,,,,,0,,,,,,,,,,,,
,0,,,,,0,,,,,,,,,,,,
,0,,,,,0,,,,,,,,,,,,
,0,,,,,0,,,,,,,,,,,,
,0,,,,,0,,,,,,,,,,,,
,0,,,,,0,,,,,,,,,,,,
,0,,,,,0,,,,,,,,,,,,
,0,,,,,0,,,,,,,,,,,,
,0,,,,,0,,,,,,,,,,,,
,0,,,,,0,,,,,,,,,,,,
,0,,,,,0,,,,,,,,,,,,
,0,,,,,0,,,,,,,,,,,,
,0,,,,,0,,,,,,,,,,,,
,0,,,,,0,,,,,,,,,,,,
,0,,,,,0,,,,,,,,,,,,
,0,,,,,0,,,,,,,,,,,,
,0,,,,,0,,,,,,,,,,,,
,0,,,,,0,,,,,,,,,,,,
,0,,,,,0,,,,,,,,,,,,
,0,,,,,0,,,,,,,,,,,,
,0,,,,,0,,,,,,,,,,,,
,0,,,,,0,,,,,,,,,,,,
,0,,,,,0,,,,,,,,,,,,
,0,,,,,0,,,,,,,,,,,,
,0,,,,,0,,,,,,,,,,,,
,0,,,,,0,,,,,,,,,,,,
,0,,,,,0,,,,,,,,,,,,
,0,,,,,0,,,,,,,,,,,,
,0,,,,,0,,,,,,,,,,,,
,0,,,,,0,,,,,,,,,,,,
,0,,,,,0,,,,,,,,,,,,
,0,,,,,0,,,,,,,,,,,,
,0,,,,,0,,,,,,,,,,,,
,0,,,,,0,,,,,,,,,,,,
,0,,,,,0,,,,,,,,,,,,
,0,,,,,0,,,,,,,,,,,,
,0,,,,,0,,,,,,,,,,,,
,0,,,,,0,,,,,,,,,,,,
,0,,,,,0,,,,,,,,,,,,
,0,,,,,0,,,,,,,,,,,,
,0,,,,,0,,,,,,,,,,,,
,0,,,,,0,,,,,,,,,,,,
,0,,,,,0,,,,,,,,,,,,
,0,,,,,0,,,,,,,,,,,,
,0,,,,,0,,,,,,,,,,,,
,0,,,,,0,,,,,,,,,,,,
,0,,,,,0,,,,,,,,,,,,
,0,,,,,0,,,,,,,,,,,,
,0,,,,,0,,,,,,,,,,,,
,0,,,,,0,,,,,,,,,,,,
,0,,,,,0,,,,,,,,,,,,
,0,,,,,0,,,,,,,,,,,,
,0,,,,,0,,,,,,,,,,,,
,0,,,,,0,,,,,,,,,,,,
,0,,,,,0,,,,,,,,,,,,
,0,,,,,0,,,,,,,,,,,,
,0,,,,,0,,,,,,,,,,,,
,0,,,,,0,,,,,,,,,,,,
,0,,,,,0,,,,,,,,,,,,
,0,,,,,0,,,,,,,,,,,,
,0,,,,,0,,,,,,,,,,,,
,0,,,,,0,,,,,,,,,,,,
,0,,,,,0,,,,,,,,,,,,
,0,,,,,0,,,,,,,,,,,,
,0,,,,,0,,,,,,,,,,,,
,0,,,,,0,,,,,,,,,,,,
,0,,,,,0,,,,,,,,,,,,
,0,,,,,0,,,,,,,,,,,,
,0,,,,,0,,,,,,,,,,,,
,0,,,,,0,,,,,,,,,,,,
,0,,,,,0,,,,,,,,,,,,
,0,,,,,0,,,,,,,,,,,,
,0,,,,,0,,,,,,,,,,,,
,0,,,,,0,,,,,,,,,,,,
,0,,,,,0,,,,,,,,,,,,
,0,,,,,0,,,,,,,,,,,,
,0,,,,,0,,,,,,,,,,,,
,0,,,,,0,,,,,,,,,,,,
,0,,,,,0,,,,,,,,,,,,
,0,,,,,0,,,,,,,,,,,,
,0,,,,,0,,,,,,,,,,,,
,0,,,,,0,,,,,,,,,,,,
,0,,,,,0,,,,,,,,,,,,
,0,,,,,0,,,,,,,,,,,,
,0,,,,,0,,,,,,,,,,,,
,0,,,,,0,,,,,,,,,,,,
,0,,,,,0,,,,,,,,,,,,
,0,,,,,0,,,,,,,,,,,,
,0,,,,,0,,,,,,,,,,,,
,0,,,,,0,,,,,,,,,,,,
,0,,,,,0,,,,,,,,,,,,
,0,,,,,0,,,,,,,,,,,,
,0,,,,,0,,,,,,,,,,,,
,0,,,,,0,,,,,,,,,,,,
,0,,,,,0,,,,,,,,,,,,
,0,,,,,0,,,,,,,,,,,,
,0,,,,,0,,,,,,,,,,,,
,0,,,,,0,,,,,,,,,,,,
,0,,,,,0,,,,,,,,,,,,
,0,,,,,0,,,,,,,,,,,,
,0,,,,,0,,,,,,,,,,,,
,0,,,,,0,,,,,,,,,,,,
,0,,,,,0,,,,,,,,,,,,
,0,,,,,0,,,,,,,,,,,,
,0,,,,,0,,,,,,,,,,,,
,0,,,,,0,,,,,,,,,,,,
,0,,,,,0,,,,,,,,,,,,
,0,,,,,0,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Dropout tracking,# dropout,%,T/TH,W/F,Sat,,# dropout (24/25),%,,,,,,,,,,
2D (School year),0,#N/A,0,0,0,,30,30%,,,,,,,,,,
3D,0,#N/A,0,0,0,,12,13%,,,,,,,,,,
Studio,0,0%,,,,,3,10%,,,,,,,,,,
Play Lab,0,#REF!,,,,,2,25%,,,,,,,,,,
2D (Summer),0,#REF!,,,,,7,7%,,,,,,,,,,
# total (school year only),#REF!,,,,,,47,,,,,,,,,,,
# total (combined),#REF!,,,,,,54,,,,,,,,,,,
Total students enrolled,#REF!,,,,,,344,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
